Name,Latitude,Longitude,Country,Division,District
Sreepur,24.1996574,90.4809098,Bangladesh,Dhaka Division,Gazipur District
Kaliganj,23.9644781,90.5730713,Bangladesh,Dhaka Division,Gazipur District
Sherpur,25.0194045,90.0137328,Bangladesh,Dhaka Division,Sherpur District
Nawabganj-S,23.653123,90.1518394,Bangladesh,Dhaka Division,Dhaka District
Faridpur,23.6018691,89.8333382,Bangladesh,Dhaka Division,Faridpur District
Nawabganj,23.653123,90.1518394,Bangladesh,Dhaka Division,Dhaka District
Kaliganj,23.9644781,90.5730713,Bangladesh,Dhaka Division,Gazipur District
Modhyanagar,23.9406869,90.8877756,Bangladesh,Dhaka Division,Narsingdi District
Dashar,23.07858467,90.14478711,Bangladesh,Dhaka Division,Madaripur District
Daulatpur,24.01130512,88.8738099,Bangladesh,Khulna Division,Kushtia District
Bagerhat-S,22.6551429,89.7661665,Bangladesh,Khulna Division,Bagerhat District
Chitalmari,22.7904387,89.8778169,Bangladesh,Khulna Division,Bagerhat District
Fakirhat,22.777513,89.7074695,Bangladesh,Khulna Division,Bagerhat District
Mollahat,22.9266143,89.8060068,Bangladesh,Khulna Division,Bagerhat District
Mongla,22.54559685,89.47722635,Bangladesh,Khulna Division,Bagerhat District
Morrelganj,22.4499409,89.8528416,Bangladesh,Khulna Division,Bagerhat District
Rampal,22.583775,89.6722171,Bangladesh,Khulna Division,Bagerhat District
Sharankhola,22.3128434,89.8481606,Bangladesh,Khulna Division,Bagerhat District
Alamdanga,23.7626671,88.9437807,Bangladesh,Khulna Division,Chuadanga District
Chuadanga-S,23.6417895,88.8577016,Bangladesh,Khulna Division,Chuadanga District
Damurhuda,23.6067377,88.7758503,Bangladesh,Khulna Division,Chuadanga District
Jibannagar,23.4226037,88.8238996,Bangladesh,Khulna Division,Chuadanga District
Abhaynagar,23.01556659,89.3143239,Bangladesh,Khulna Division,Jessore District
Bagherpara,23.2172608,89.3487791,Bangladesh,Khulna Division,Narail District
Chowgacha,23.2632036,89.020323,Bangladesh,Khulna Division,Jessore District
Jashore-S,23.1634014,89.2181664,Bangladesh,Khulna Division,Jessore District
Jhikargacha,23.0999066,89.0991083,Bangladesh,Khulna Division,Jessore District
Keshabpur,22.905463,89.2193801,Bangladesh,Khulna Division,Jessore District
Monirampur,23.0242402,89.2326924,Bangladesh,Khulna Division,Jessore District
Sharsha,23.05287344,88.92659303,Bangladesh,Khulna Division,Jessore District
Harinakunda,23.6487722,89.0430191,Bangladesh,Khulna Division,Jhenaidah District
Jhenaidah-S,23.5528198,89.1753614,Bangladesh,Khulna Division,Jhenaidah District
Kotchandpur,23.4075287,89.0119581,Bangladesh,Khulna Division,Jhenaidah District
Moheshpur,23.3598198,88.9171619,Bangladesh,Khulna Division,Jhenaidah District
Shailkupa,23.6840828,89.2419658,Bangladesh,Khulna Division,Jhenaidah District
Batiaghata,22.7263608,89.5025641,Bangladesh,Khulna Division,Khulna District
Dacope,22.6012347,89.5072866,Bangladesh,Khulna Division,Khulna District
Dighalia,22.8958119,89.5218474,Bangladesh,Khulna Division,Khulna District
Dumuria,22.8052037,89.4194024,Bangladesh,Khulna Division,Khulna District
Koyra,22.36987379,89.42265484,Bangladesh,Khulna Division,Khulna District
Paikgacha,22.5930919,89.3167649,Bangladesh,Khulna Division,Khulna District
Phultala,22.9704664,89.4505802,Bangladesh,Khulna Division,Khulna District
Rupsha,22.80619251,89.52902268,Bangladesh,Khulna Division,Khulna District
Terokhada,22.9353223,89.6675144,Bangladesh,Khulna Division,Khulna District
Bheramara,24.020975,88.9922341,Bangladesh,Khulna Division,Kushtia District
Khoksha,23.8033041,89.2894733,Bangladesh,Khulna Division,Kushtia District
Kumarkhali,23.8595814,89.239589,Bangladesh,Khulna Division,Kushtia District
Kushtia-S,23.9087767,89.1219822,Bangladesh,Khulna Division,Kushtia District
Mirpur,23.93171148,88.99486731,Bangladesh,Khulna Division,Kushtia District
Magura-S,23.4289726,89.436391,Bangladesh,Khulna Division,Magura District
Salikha,23.3020599,89.3761228,Bangladesh,Khulna Division,Magura District
Gangni,23.8206519,88.7421831,Bangladesh,Khulna Division,Meherpur District
Meherpur-S,23.7721263,88.631372,Bangladesh,Khulna Division,Meherpur District
Mujib Nagar,23.646846,88.5927608,Bangladesh,Khulna Division,Meherpur District
Kalia,23.04135223,89.75187632,Bangladesh,Khulna Division,Narail District
Narail-S,23.1656982,89.4990219,Bangladesh,Khulna Division,Narail District
Assasuni,22.5409427,89.1619217,Bangladesh,Khulna Division,Satkhira District
