Iteration 162: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 163: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 164: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 165: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 166: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 167: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 168: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 169: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 170: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 171: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 172: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 173: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 174: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 175: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 176: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 177: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 178: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 179: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 180: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 181: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 182: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 183: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 184: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 185: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 186: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 187: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 188: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 189: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 190: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 191: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 192: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 193: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 194: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 195: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 196: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 197: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 198: Lower Bound = 31800.9, Upper Bound = 45309.1
Iteration 199: Lower Bound = 31800.9, Upper Bound = 45309.1
