Optimal Objective Value (Upper Bound),6095035691.604062
Execution Time (Seconds),0.004159

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
35,Faridpur,281,Baliakandi,5699.000000
35,Faridpur,314,Rajbari-S,8468.000000
35,Faridpur,347,Boalmari,6272.000000
35,Faridpur,357,Ghior,6780.000000
35,Faridpur,397,Debhata,4623.000000
35,Faridpur,422,Madhukhali,7571.000000
35,Faridpur,423,Muksudpur,6865.000000
35,Faridpur,425,Bagherpara,2304.413673
36,Khaliajuri,13,Dakhin Sunamganj,8037.000000
36,Khaliajuri,29,Sunamganj-S,8588.000000
36,Khaliajuri,34,Bishwanath,8499.000000
36,Khaliajuri,42,Jaintiapur,7040.000000
36,Khaliajuri,75,Juri,6726.000000
36,Khaliajuri,87,Barlekha,6355.000000
36,Khaliajuri,132,Derai,7572.000000
36,Khaliajuri,154,Biswamvarpur,6829.000000
36,Khaliajuri,208,Karimganj,6939.000000
36,Khaliajuri,244,Mohanganj,8214.000000
36,Khaliajuri,249,Kishoreganj-S,7298.000000
36,Khaliajuri,250,Jamalganj,6410.000000
36,Khaliajuri,317,Balaganj,4299.087347
36,Khaliajuri,355,Companiganj,7808.000000
36,Khaliajuri,362,Gowainghat,6785.000000
36,Khaliajuri,368,Nandail,6337.000000
36,Khaliajuri,407,Baniachong,6670.000000
37,Jhikargacha,39,Phultala,0.128878
37,Jhikargacha,81,Salikha,8043.000000
37,Jhikargacha,101,Moheshpur,7068.000000
37,Jhikargacha,159,Chowgacha,2948.815000
37,Jhikargacha,265,Abhaynagar,4991.000000
37,Jhikargacha,295,Sharsha,8461.000000
37,Jhikargacha,341,Jibannagar,7585.000000
37,Jhikargacha,400,Jashore-S,5170.000000
39,Baliadangi,68,Boda,8525.000000
39,Baliadangi,109,Ranisankail,8719.000000
39,Baliadangi,165,Tetulia,6479.000000
39,Baliadangi,226,Thakurgaon-S,5595.000000
39,Baliadangi,237,Panchagarh-S,3735.299388
39,Baliadangi,245,Melandaha,7998.000000
39,Baliadangi,377,Atwari,6757.000000
41,Fatikchari,40,Feni,361.806633
41,Fatikchari,54,Begumganj,5298.000000
41,Fatikchari,64,Fulgazi,906.330612
41,Fatikchari,67,Ramgarh,8734.000000
41,Fatikchari,72,Moheskhali,5717.000000
41,Fatikchari,130,Laxmichari,8699.000000
41,Fatikchari,142,Hathazari,5824.000000
41,Fatikchari,155,Guimara,7566.000000
41,Fatikchari,177,Mahalchari,7659.000000
41,Fatikchari,199,Dighinala,6982.000000
41,Fatikchari,228,Companiganj,5221.000000
41,Fatikchari,229,Manikchari,6239.000000
41,Fatikchari,288,Raojan,6493.000000
41,Fatikchari,308,Banskhali,5691.000000
41,Fatikchari,321,Boalkhali,5348.000000
41,Fatikchari,344,Matiranga,7556.000000
41,Fatikchari,356,Sitakunda,6628.000000
41,Fatikchari,361,Mirsharai,5025.000000
41,Fatikchari,384,Sandwip,5475.000000
41,Fatikchari,405,Anwara,5236.000000
41,Fatikchari,409,Panchari,4846.000000
41,Fatikchari,424,Khagrachari-S,6869.000000
42,Santhia,30,Kalukhali,729.051939
42,Santhia,65,Bera,5614.000000
42,Santhia,129,Jhenaigati,4832.000000
42,Santhia,152,Nagarpur,5124.000000
42,Santhia,197,Chauhali,7859.000000
42,Santhia,236,Shailkupa,4779.000000
42,Santhia,312,Raiganj,698.264082
42,Santhia,383,Harinakunda,4712.000000
42,Santhia,388,Shivalaya,4849.000000
42,Santhia,426,Shahjadpur,5421.000000
42,Santhia,442,Daulatpur,5847.000000
45,Modhyanagar,12,Moulvibazar-S,4986.000000
45,Modhyanagar,32,Nawabganj-S,4477.000000
45,Modhyanagar,38,Raipura,5252.000000
45,Modhyanagar,52,Sarail,4322.000000
45,Modhyanagar,83,Dhamrai,4410.000000
45,Modhyanagar,116,Madan,47.457653
45,Modhyanagar,123,Gazaria,4434.000000
45,Modhyanagar,133,Gazipur-S,6620.000000
45,Modhyanagar,136,Narshingdi-S,5333.000000
45,Modhyanagar,157,Kaliganj,5306.000000
45,Modhyanagar,172,Shibpur,7004.000000
45,Modhyanagar,202,Jagannathpur,4717.000000
45,Modhyanagar,203,Nabinagar,6563.000000
45,Modhyanagar,216,Kalihati,2108.274286
45,Modhyanagar,217,Fenchuganj,4631.000000
45,Modhyanagar,233,Munshiganj-S,4828.000000
45,Modhyanagar,256,Bahubal,4634.000000
45,Modhyanagar,275,Rupganj,4866.000000
45,Modhyanagar,292,Osmaninagar,376.871020
45,Modhyanagar,303,Goalanda,4474.000000
45,Modhyanagar,333,Meghna,4774.195408
45,Modhyanagar,379,Monohardi,5626.000000
45,Modhyanagar,408,Kaliganj,5803.000000
45,Modhyanagar,417,Muradnagar,6071.000000
45,Modhyanagar,420,Bandar,4313.000000
45,Modhyanagar,431,Bancharampur,6684.000000
45,Modhyanagar,433,Purbadhala,4828.000000
