Optimal Objective Value (Upper Bound),5782607949.337923
Execution Time (Seconds),9.042133

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
40,Sonargaon,188,Homna,1741.195408
40,Sonargaon,225,Titas,7442.000000
40,Sonargaon,233,Munshiganj-S,4828.000000
40,Sonargaon,261,Sirajdikhan,4673.000000
40,Sonargaon,267,Sreenagar,5240.000000
40,Sonargaon,279,Nagarkanda,4464.174898
40,Sonargaon,333,Meghna,6911.000000
40,Sonargaon,342,Matlab (Uttar),5725.000000
40,Sonargaon,350,Narayanganj-S,5818.000000
40,Sonargaon,373,Haziganj,3721.251531
40,Sonargaon,420,Bandar,4313.000000
40,Sonargaon,432,Tongibari,8141.000000
41,Fatikchari,20,Juraichari,5206.000000
41,Fatikchari,67,Ramgarh,8734.000000
41,Fatikchari,130,Laxmichari,8699.000000
41,Fatikchari,142,Hathazari,5824.000000
41,Fatikchari,143,Langadu,8765.000000
41,Fatikchari,155,Guimara,7566.000000
41,Fatikchari,163,Baghaichari,7853.000000
41,Fatikchari,177,Mahalchari,7659.000000
41,Fatikchari,195,Karnaphuli,5514.000000
41,Fatikchari,199,Dighinala,6982.000000
41,Fatikchari,229,Manikchari,6239.000000
41,Fatikchari,254,Rangunia,1786.340918
41,Fatikchari,288,Raojan,6493.000000
41,Fatikchari,309,Nanniarchar,6682.000000
41,Fatikchari,344,Matiranga,7556.000000
41,Fatikchari,356,Sitakunda,6628.000000
41,Fatikchari,361,Mirsharai,5025.000000
41,Fatikchari,384,Sandwip,3447.796327
41,Fatikchari,409,Panchari,4846.000000
41,Fatikchari,424,Khagrachari-S,6869.000000
42,Santhia,10,Pangsha,5225.000000
42,Santhia,30,Kalukhali,4860.000000
42,Santhia,59,Pabna-S,8795.000000
42,Santhia,65,Bera,5614.000000
42,Santhia,222,Khoksha,2643.542959
42,Santhia,314,Rajbari-S,2938.773061
42,Santhia,351,Sujanagar,4271.000000
42,Santhia,388,Shivalaya,4849.000000
42,Santhia,426,Shahjadpur,5421.000000
42,Santhia,442,Daulatpur,5847.000000
43,Dakshin Surma,12,Moulvibazar-S,4986.000000
43,Dakshin Surma,13,Dakhin Sunamganj,5084.991020
43,Dakshin Surma,34,Bishwanath,8499.000000
43,Dakshin Surma,42,Jaintiapur,7040.000000
43,Dakshin Surma,66,Beanibazar,5570.000000
43,Dakshin Surma,75,Juri,6726.000000
43,Dakshin Surma,87,Barlekha,6355.000000
43,Dakshin Surma,140,Sylhet-S,6107.000000
