Optimal Objective Value (Upper Bound),1215009497.387531

Facility Load and Cost Details:
Facility ID,City,Opened,Load,Capacity,Total Cost (Fixed + Routing)
35,Faridpur,303,Goalanda,6347.000000
35,Faridpur,314,Rajbari-S,7674.000000
35,Faridpur,347,Boalmari,8015.000000
35,Faridpur,422,Madhukhali,4571.000000
36,Khaliajuri,0,Sullah,8333.000000
36,Khaliajuri,95,Azmiriganj,8725.000000
36,Khaliajuri,116,Madan,6753.000000
36,Khaliajuri,132,Derai,8656.000000
36,Khaliajuri,193,Kendua,6466.000000
36,Khaliajuri,208,Karimganj,8597.000000
36,Khaliajuri,244,Mohanganj,4480.000000
36,Khaliajuri,304,Tarail,5403.000000
36,Khaliajuri,330,Dharmapasha,6715.000000
36,Khaliajuri,380,Itna,8265.000000
37,Jhikargacha,81,Salikha,7059.000000
37,Jhikargacha,101,Moheshpur,5757.000000
37,Jhikargacha,159,Chowgacha,6001.000000
37,Jhikargacha,265,Abhaynagar,8016.000000
37,Jhikargacha,266,Kotchandpur,4095.000000
37,Jhikargacha,295,Sharsha,6116.000000
37,Jhikargacha,332,Monirampur,5940.000000
37,Jhikargacha,400,Jashore-S,8944.000000
37,Jhikargacha,425,Bagherpara,5781.000000
38,Rangamati-S,143,Langadu,5504.000000
38,Rangamati-S,177,Mahalchari,6604.000000
38,Rangamati-S,195,Karnaphuli,4787.000000
38,Rangamati-S,213,Kaptai,5717.000000
38,Rangamati-S,230,Belaichari,7577.000000
38,Rangamati-S,309,Nanniarchar,6346.000000
39,Baliadangi,19,Haripur,5046.000000
39,Baliadangi,68,Boda,5844.000000
39,Baliadangi,109,Ranisankail,5584.000000
39,Baliadangi,165,Tetulia,4985.000000
39,Baliadangi,226,Thakurgaon-S,4845.000000
39,Baliadangi,237,Panchagarh-S,6827.000000
39,Baliadangi,245,Melandaha,6135.000000
39,Baliadangi,377,Atwari,5688.000000
40,Sonargaon,51,Daudkandi,6699.000000
40,Sonargaon,123,Gazaria,5438.000000
40,Sonargaon,158,Matlab (Dakshin),8465.000000
40,Sonargaon,164,Keraniganj,6947.000000
40,Sonargaon,225,Titas,5164.000000
40,Sonargaon,233,Munshiganj-S,6318.000000
40,Sonargaon,333,Meghna,4358.000000
40,Sonargaon,342,Matlab (Uttar),7473.000000
40,Sonargaon,350,Narayanganj-S,4805.000000
40,Sonargaon,420,Bandar,5050.000000
41,Fatikchari,67,Ramgarh,8924.000000
41,Fatikchari,130,Laxmichari,4438.000000
41,Fatikchari,142,Hathazari,5852.000000
41,Fatikchari,155,Guimara,4835.000000
41,Fatikchari,199,Dighinala,5441.000000
41,Fatikchari,229,Manikchari,8725.000000
41,Fatikchari,344,Matiranga,7584.000000
41,Fatikchari,356,Sitakunda,5925.000000
41,Fatikchari,361,Mirsharai,6017.000000
41,Fatikchari,384,Sandwip,7471.000000
41,Fatikchari,409,Panchari,8083.000000
41,Fatikchari,424,Khagrachari-S,4297.000000
42,Santhia,65,Bera,5704.000000
42,Santhia,152,Nagarpur,7710.000000
42,Santhia,197,Chauhali,7744.000000
42,Santhia,351,Sujanagar,8626.000000
42,Santhia,388,Shivalaya,7199.000000
42,Santhia,426,Shahjadpur,8449.000000
42,Santhia,442,Daulatpur,5520.000000
43,Dakshin Surma,34,Bishwanath,5062.000000
43,Dakshin Surma,75,Juri,5038.000000
43,Dakshin Surma,87,Barlekha,5203.000000
43,Dakshin Surma,140,Sylhet-S,5835.000000
43,Dakshin Surma,185,Golapganj,7604.000000
43,Dakshin Surma,202,Jagannathpur,6722.000000
43,Dakshin Surma,217,Fenchuganj,4328.000000
43,Dakshin Surma,292,Osmaninagar,4576.000000
43,Dakshin Surma,317,Balaganj,4881.000000
43,Dakshin Surma,355,Companiganj,5739.000000
43,Dakshin Surma,393,Chhatak,7008.000000
44,Kamalganj,12,Moulvibazar-S,7229.000000
44,Kamalganj,282,Kulaura,5165.000000
45,Modhyanagar,38,Raipura,6531.000000
45,Modhyanagar,172,Shibpur,6245.000000
45,Modhyanagar,203,Nabinagar,4628.000000
45,Modhyanagar,379,Monohardi,6299.000000
45,Modhyanagar,417,Muradnagar,4414.000000
46,Mohanpur,135,Godagari,6684.000000
46,Mohanpur,209,Tanore,5686.000000
46,Mohanpur,215,Gomostapur,6660.000000
46,Mohanpur,338,Nachol,4579.000000
46,Mohanpur,375,Rajnagar,6017.000000
47,Shariatpur-S,4,Zajira,4423.000000
47,Shariatpur-S,7,Madaripur-S,4616.000000
47,Shariatpur-S,62,Naria,7305.000000
47,Shariatpur-S,138,Rajoir,7729.000000
47,Shariatpur-S,156,Goshairhat,7444.000000
47,Shariatpur-S,210,Damuddya,5951.000000
47,Shariatpur-S,318,Kalkini,5315.000000
47,Shariatpur-S,394,Chandpur-S,4281.000000
47,Shariatpur-S,402,Dashar,8123.000000
47,Shariatpur-S,445,Bhedarganj,5139.000000
48,Charbhadrasan,107,Bhanga,8420.000000
48,Charbhadrasan,274,Sadarpur,5939.000000
48,Charbhadrasan,279,Nagarkanda,8979.000000
48,Charbhadrasan,370,Dohar,5836.000000
48,Charbhadrasan,423,Muksudpur,6781.000000
