iter  lambda         dual           primal         LB             UB             gap            step           subgrad        
189   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
190   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
191   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
192   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
193   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
194   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
195   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
196   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
197   1.90663        6542.71        7572           6163           6542.71        379.709        0.000695283    -739           
198   0.993517       6726.39        5550           6163           6542.71        379.709        0.00147992     617            
199   1.39282        6863.37        8606           6163           6542.71        379.709        0.000227651    -1754          
