Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number
Barura,"2 found, use single geocode.","Barura, Bangladesh",23.3773279,91.0550222,"locality, political",APPROXIMATE,,,,Barura,Bangladesh,Chittagong Division,Comilla District,Comilla District
Brahmanpara,Ok,"Brahmanpara, Bangladesh",23.6225266,91.1017334,"locality, political",APPROXIMATE,,,,Brahmanpara,Bangladesh,Chittagong Division,Comilla District,Comilla District
Burichong,Ok,"Burichang Upazila, Bangladesh",23.5534788,91.1266892,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Comilla District,Comilla District
Chandina,Ok,"Chandina, Bangladesh",23.4892481,91.0083637,"locality, political",APPROXIMATE,,,,Chandina,Bangladesh,Chittagong Division,Comilla District,Comilla District
Chouddagram,"3 found, use single geocode.","Chauddagram, Bangladesh",23.228035,91.3131861,"locality, political",APPROXIMATE,,,,Chauddagram,Bangladesh,Chittagong Division,Comilla District,Comilla District
Cumilla-S,"5 found, use single geocode.","Cumilla, Bangladesh",23.4606574,91.1809065,"locality, political",APPROXIMATE,,,,Cumilla,Bangladesh,Chittagong Division,Comilla District,Comilla District
Cumilla-S Daksin,"2 found, use single geocode.","Cumilla, Bangladesh",23.4606574,91.1809065,"locality, political",APPROXIMATE,,,,Cumilla,Bangladesh,Chittagong Division,Comilla District,Comilla District
Daudkandi,"2 found, use single geocode.","Daudkandi, Bangladesh",23.5337738,90.7247008,"locality, political",APPROXIMATE,,,,Daudkandi,Bangladesh,Chittagong Division,Comilla District,Comilla District
Debidwar,"2 found, use single geocode.","Debidwar, Bangladesh",23.6114537,90.9772874,"locality, political",APPROXIMATE,,,,Debidwar,Bangladesh,Chittagong Division,Comilla District,Comilla District
Homna,Ok,"Homna, Bangladesh",23.6824728,90.7832908,"locality, political",APPROXIMATE,,,,Homna,Bangladesh,Chittagong Division,Comilla District,Comilla District
Laksham,Ok,"Laksam Upazila, Bangladesh",23.2448524,91.1211746,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Comilla District,Comilla District
Lalmai,Ok,"Lalmai,Bangladesh",23.35896369,91.14666095,"locality, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Comilla District,Comilla District
Meghna,Ok,"Meghna,Bangladesh",23.62555363,90.70070033,"locality, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Comilla District,Comilla District
Monohorganj,"Ok, partial match","Manoharganj Upazila, Bangladesh",23.1122951,91.1158319,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Comilla District,Comilla District
Muradnagar,"3 found, use single geocode.","Muradnagar,Bangladesh",23.71489019,90.9439975,"locality, political",APPROXIMATE,,,201206,Muradnagar,Bangladesh,Chittagong Division,Comilla District,Comilla District
Nangalkot,Ok,"Nangalkot, Bangladesh",23.1694062,91.1977158,"locality, political",APPROXIMATE,,,,Nangalkot,Bangladesh,Chittagong Division,Comilla District,Comilla District
Titas,Ok,"Titas,Bangladesh",23.60013341,90.8172896,"locality, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Comilla District,Comilla District
Chhagalniya,"2 found, use single geocode.","Chhagalnaiya, Bangladesh",23.0386278,91.5184418,"locality, political",APPROXIMATE,,,,Chhagalnaiya,Bangladesh,Chittagong Division,Feni District,Feni District
Daganbhuiyan,"2 found, use single geocode.","Daganbhuiyan, Bangladesh",22.9123584,91.3180042,"locality, political",APPROXIMATE,,,,Daganbhuiyan,Bangladesh,Chittagong Division,Feni District,Feni District
Feni,"4 found, use single geocode.","Feni,Bangladesh",23.02124302,91.3963966,"locality, political",APPROXIMATE,,,,Feni,Bangladesh,Chittagong Division,Feni District,Feni District
Fulgazi,"2 found, use single geocode.","Fulgazi, Bangladesh",23.1554497,91.4325717,"locality, political",APPROXIMATE,,,,Fulgazi,Bangladesh,Chittagong Division,Feni District,Feni District
Porshuram,Ok,"Parshuram Upazila, Bangladesh",23.2134267,91.4446255,"administrative_area_level_3, political",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Feni District,Feni District
Sonagazi,"2 found, use single geocode.","Sonagazi Municipality, Bangladesh",22.8491794,91.3927559,"locality, political",APPROXIMATE,,,,Sonagazi Municipality,Bangladesh,Chittagong Division,Feni District,Feni District
Dighinala,Ok,"Dighinala, Bangladesh",23.2408468,92.0640687,"locality, political",APPROXIMATE,,,,Dighinala,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Guimara,Ok,"Guimara, Bangladesh",22.9603925,91.8695046,"locality, political",APPROXIMATE,,,,Guimara,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Khagrachari-S,"2 found, use single geocode.","Khagrachari, Bangladesh",23.1117407,91.9888247,"locality, political",APPROXIMATE,,,,Khagrachari,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Laxmichari,Ok,"Lakshmichhari, Bangladesh",22.7961681,91.9123664,"locality, political",APPROXIMATE,,,,Lakshmichhari,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Mahalchari,"Ok, partial match","Mahalchhari, Bangladesh",22.9316977,92.029768,"locality, political",APPROXIMATE,,,,Mahalchhari,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Manikchari,Ok,"Manikchari, Bangladesh",22.8417234,91.83671,"locality, political",APPROXIMATE,,,,Manikchari,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Matiranga,Ok,"Matiranga, Bangladesh",23.0407988,91.8733017,"locality, political",APPROXIMATE,,,,Matiranga,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Panchari,Ok,"Panchari,Bangladesh",23.3028702,91.89895546,"locality, political",APPROXIMATE,,,,Panchari,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Ramgarh,"2 found, use single geocode.","Ramgarh,Bangladesh ",23.00913955,91.74034963,"locality, political",APPROXIMATE,,,,Ramgarh Cantonment,Bangladesh,Chittagong Division,Khagrachari District,Khagrachari District
Kamalnagar,"2 found, use single geocode.","Kamalnagar,Bangladesh",22.5931811,90.99394972,"political, sublocality, sublocality_level_2",APPROXIMATE,,,,,Bangladesh,Chittagong Division,Lakshmipur District,Lakshmipur District
Lakshmipur-Sadar,"9 found, use single geocode.","Lakshmipur,Bangladesh",22.95374511,90.86731182,"locality, political",APPROXIMATE,,,,Lakshmipur,Bangladesh,Chittagong Division,Lakshmipur District,Lakshmipur District
Raipur,Ok,"Raipur, Bangladesh",23.03671742,90.76076459,"locality, political",APPROXIMATE,,,,Raipur,Bangladesh,Chittagong Division,Lakshmipur District,Lakshmipur District
