
ID      Weight    Value     
6757    5         361       
6769    3         578       
6775    38        316       
6789    60        764       
6803    45        407       
6823    78        884       
6828    16        433       
6833    4         439       
6841    233       979       
6848    85        450       
6853    131       874       
6862    140       753       
6901    46        841       
6910    8         685       
6911    15        389       
6925    1         673       
6927    61        329       
6937    66        295       
6944    171       981       
6951    6         182       
6955    1         604       
6963    126       742       
6966    145       971       
6981    115       642       
6998    77        609       
7008    121       973       
7011    29        521       
7023    83        385       
7024    87        357       
7074    16        671       
7088    62        581       
7092    220       932       
7101    199       955       
7109    103       796       
7125    15        210       
7143    200       871       
7159    58        957       
7168    6         701       
7191    12        114       
7194    111       684       
7215    50        752       
7218    121       557       
7221    27        850       
7225    149       894       
7236    15        871       
7238    58        984       
7266    8         441       
7267    132       941       
7276    127       758       
7277    66        585       
7306    38        540       
7308    54        411       
7316    24        450       
7330    17        395       
7347    183       877       
7353    63        499       
7354    126       528       
7370    130       961       
7377    185       870       
7378    83        488       
7390    84        394       
7395    83        885       
7400    2         673       
7402    58        454       
7409    20        711       
7414    46        809       
7420    57        697       
7424    120       727       
7435    22        858       
7436    84        787       
7437    36        706       
7443    12        711       
7449    12        334       
7454    26        142       
7477    157       757       
7478    4         714       
7479    179       741       
7483    67        518       
7484    78        427       
7488    96        825       
7505    134       811       
7508    82        728       
7533    202       982       
7552    155       873       
7554    44        695       
7556    51        210       
7562    1         578       
7564    34        331       
7589    210       881       
7593    89        973       
7601    9         619       
7610    2         391       
7615    20        119       
7625    18        136       
7632    81        787       
7636    15        960       
7642    67        609       
7643    3         843       
7651    32        823       
7655    4         736       
7662    117       551       
7672    93        436       
7674    66        378       
7680    153       792       
7689    48        254       
7703    11        739       
7710    112       669       
7713    25        324       
7716    28        851       
7750    28        266       
7751    199       874       
7759    150       826       
7760    57        487       
7776    83        345       
7779    31        652       
7780    92        861       
7783    28        876       
7785    11        573       
7823    43        630       
7838    44        960       
7841    42        364       
7842    135       838       
7845    127       844       
7851    121       554       
7853    133       676       
7855    4         745       
7859    74        786       
7866    98        969       
7868    6         48        
7873    19        446       
7878    93        600       
7879    91        517       
7883    46        263       
7895    87        715       
7896    10        965       
7897    31        620       
7913    47        477       
7919    41        444       
7938    13        301       
7940    69        762       
7943    75        307       
7950    71        983       
7951    29        922       
7955    70        598       
7960    2         359       
7966    45        296       
7970    60        341       
7981    89        371       
7989    16        325       
7990    144       847       
7991    79        994       
8001    29        601       
8002    186       799       
8009    127       916       
8012    189       902       
8013    53        716       
8016    123       640       
8022    68        478       
8024    16        641       
8026    78        492       
8033    51        726       
8036    23        856       
8039    92        700       
8043    20        595       
8052    130       590       
8060    75        853       
8062    61        918       
8073    211       928       
8075    95        437       
8080    26        798       
8084    27        765       
8089    87        634       
8099    74        810       
8101    23        440       
8102    43        861       
8109    145       941       
8116    119       609       
8159    102       695       
8164    87        415       
8170    184       774       
8182    132       724       
8191    25        995       
8238    180       857       
8275    89        603       
8276    12        336       
8280    1         556       
8283    64        751       
8288    146       695       
8297    169       879       
8311    148       623       
8315    53        781       
8318    29        199       
8322    105       664       
8326    26        464       
8334    32        792       
8341    139       957       
8355    4         240       
8365    96        907       
8367    25        626       
8374    8         119       
8380    107       859       
8381    18        175       
8383    152       790       
8404    155       743       
8429    151       655       
8439    15        494       
8440    22        673       
8442    63        960       
8450    69        601       
8451    189       875       
8462    109       478       
8466    149       623       
8472    23        274       
8492    116       726       
8499    18        332       
8505    158       946       
8517    107       676       
8519    62        878       
8530    29        772       
8531    25        972       
8540    5         754       
8544    134       562       
8566    36        383       
8576    24        872       
8585    88        987       
8590    15        87        
8597    119       583       
8599    79        364       
8609    64        555       
8615    108       562       
8618    232       982       
8621    196       831       
8622    146       752       
8624    125       698       
8641    3         307       
8642    214       987       
8665    49        822       
8669    74        995       
8688    97        897       
8699    46        838       
8728    58        265       
8752    8         582       
8767    140       959       
8770    15        587       
8775    101       637       
8777    62        456       
8782    4         939       
8787    147       694       
8796    105       530       
8807    10        866       
8812    69        407       
8814    40        792       
8815    106       902       
8816    64        738       
8819    102       869       
8821    34        868       
8831    109       963       
8844    100       890       
8846    33        356       
8850    92        978       
8876    93        726       
8879    105       857       
8883    129       952       
8884    44        858       
8901    103       469       
8905    128       928       
8916    216       925       
8919    78        621       
8923    54        837       
8927    165       959       
8936    123       798       
8939    100       587       
8940    5         841       
8941    55        762       
8943    72        628       
8955    114       974       
8961    122       640       
8965    10        101       
8969    39        239       
8972    24        651       
8974    161       889       
8977    4         284       
8985    87        768       
8994    37        774       
8998    179       921       
9001    21        107       
9003    3         231       
9007    26        756       
9034    155       638       
9047    187       864       
9077    71        760       
9080    37        990       
9084    213       899       
9092    81        972       
9095    27        691       
9098    15        992       
9117    1         8         
9121    31        131       
9127    126       603       
9148    167       964       
9149    19        116       
9168    141       851       
9171    76        966       
9177    176       905       
9188    230       946       
9197    1         444       
9199    92        458       
9212    131       841       
9220    113       793       
9225    86        818       
9226    160       925       
9251    54        402       
9255    4         684       
9261    16        303       
9263    28        207       
9266    18        893       
9267    111       541       
9288    90        558       
9306    17        947       
9335    196       929       
9351    52        713       
9352    54        721       
9369    77        875       
9375    64        272       
9387    30        463       
9392    12        612       
9407    168       860       
9408    78        870       
9412    216       921       
9416    35        539       
9421    5         979       
9433    7         191       
9439    25        219       
9442    168       715       
9445    24        286       
9449    130       545       
9454    44        316       
9460    130       816       
9469    42        794       
9482    166       829       
9485    62        379       
9500    44        573       
9506    118       502       
9507    121       849       
9517    17        330       
9518    78        354       
9526    25        255       
9527    140       672       
9532    139       593       
9533    11        569       
9537    72        553       
9547    224       943       
9555    17        243       
9559    85        729       
9572    62        501       
9578    39        834       
9581    145       945       
9585    6         589       
9596    91        401       
9597    136       782       
9604    63        515       
9615    30        435       
9620    97        579       
9621    168       814       
9622    205       972       
9633    64        649       
9641    125       963       
9645    58        664       
9649    106       657       
9650    25        437       
9664    210       954       
9674    70        893       
9676    152       909       
9686    59        561       
9699    48        204       
9700    124       839       
9703    107       925       
9720    115       579       
9732    115       617       
9740    154       897       
9745    75        621       
9750    85        707       
9761    6         441       
9765    65        602       
9768    164       704       
9785    72        961       
9787    98        906       
9791    20        680       
9805    45        719       
9814    151       941       
9820    90        392       
9825    29        455       
9833    1         180       
9839    8         738       
9846    117       609       
9859    23        910       
9866    179       875       
9874    42        896       
9877    103       592       
9878    193       795       
9886    67        322       
9890    11        366       
9900    27        627       
9906    85        352       
9909    183       820       
9919    150       964       
9920    105       795       
9921    65        541       
9922    146       792       
9924    87        936       
9951    133       818       
9971    4         375       
9979    55        851       
9987    20        775       
9997    70        425       
10011   4         428       
10035   70        863       
10039   26        399       
10046   48        205       
10048   130       884       
10064   41        722       
10068   49        336       
10078   194       912       
10082   126       643       
10094   137       679       
10136   29        951       
10153   229       996       
10154   2         889       
10159   141       962       
10168   84        558       
10171   10        193       
10172   98        519       
10182   90        415       
10188   137       574       
10191   15        609       
10196   75        479       
10201   42        872       
10213   32        945       
10216   17        906       
10220   45        545       
10231   149       721       
10243   115       553       
10244   229       971       
10247   5         317       
10264   171       913       
10266   61        390       
10270   71        680       
10273   131       910       
10274   149       810       
10280   51        456       
10289   170       796       
10325   150       692       
10338   33        434       
10339   142       886       
10348   144       635       
10352   72        711       
10357   201       985       
10359   74        635       
10362   109       759       
10386   104       923       
10392   5         694       
10393   114       622       
10397   101       444       
10407   93        452       
10418   46        745       
10420   48        480       
10428   43        665       
10435   31        984       
10436   67        420       
10441   105       689       
10446   54        669       
10451   132       904       
10458   32        675       
10479   33        770       
10497   60        620       
10501   103       627       
10507   42        356       
10510   140       662       
10516   124       806       
10517   24        261       
10528   33        259       
10542   156       784       
10544   43        185       
10551   126       582       
10555   111       939       
10558   99        412       
10567   25        124       
10586   150       966       
10592   108       576       
10596   15        242       
10622   66        565       
10624   69        391       
10642   133       678       
10658   77        719       
10659   84        994       
10671   65        788       
10682   13        235       
10690   64        735       
10694   65        835       
10695   111       684       
10698   30        191       
10736   38        883       
10737   45        753       
10744   1         68        
10747   22        149       
10751   214       882       
10757   115       809       
10761   116       903       
10763   51        449       
10775   68        754       
10777   8         590       
10789   129       729       
10795   114       743       
10797   206       948       
10798   140       764       
10802   110       996       
10808   82        527       
10830   197       884       
10833   78        544       
10842   48        941       
10854   15        667       
10864   19        351       
10868   194       993       
10870   11        134       
10882   65        900       
10897   119       826       
10913   65        378       
10928   100       632       
10938   16        181       
10964   60        930       
10967   170       811       
10972   199       832       
11001   92        664       
11006   33        424       
11038   173       773       
11051   12        468       
11059   77        908       
11066   84        874       
11067   143       598       
11076   131       595       
11082   8         801       
11105   37        472       
11107   81        547       
11113   125       965       
11117   55        451       
11120   215       904       
11123   57        336       
11129   2         641       
11136   12        938       
11139   164       972       
11156   79        468       
11157   97        533       
11167   107       488       
11177   106       572       
11179   135       858       
11184   60        525       
11187   13        667       
11189   9         632       
11196   88        406       
11211   61        339       
11214   173       869       
11223   105       690       
11224   134       891       
11231   80        831       
11233   8         915       
11241   133       812       
11255   31        822       
11274   50        584       
11282   114       879       
11285   42        334       
11296   88        957       
11305   76        487       
11311   30        181       
11325   105       715       
11368   6         997       
11377   55        831       
11392   1         297       
11400   24        159       
11403   136       578       
11416   20        569       
11421   146       773       
11426   73        393       
11430   104       995       
11434   50        970       
11435   117       717       
11441   34        962       
11452   111       887       
11455   19        198       
11458   19        298       
11472   19        643       
11477   29        173       
11483   19        491       
11484   77        967       
11485   74        708       
11488   201       979       
11524   133       567       
11527   28        734       
11532   136       743       
11533   41        353       
11537   11        917       
11538   94        844       
11542   26        834       
11552   120       596       
11553   25        566       
11560   11        323       
11563   65        651       
11565   31        497       
11572   49        770       
11600   9         452       
11602   1         521       
11620   8         590       
11631   23        460       
11655   48        856       
11656   108       525       
11663   27        491       
11670   76        701       
11683   96        613       
11694   17        426       
11697   17        366       
11717   67        326       
11723   106       743       
11739   22        921       
11740   53        308       
11747   59        263       
11748   48        800       
11752   150       994       
11753   18        903       
11764   71        898       
11786   12        576       
11788   60        514       
11791   32        892       
11810   73        844       
11811   116       837       
11816   91        785       
11821   187       974       
11824   148       880       
11833   61        980       
11834   206       987       
11838   135       940       
11844   179       818       
11849   73        304       
11850   1         681       
11852   179       765       
11865   11        812       
11879   100       616       
11897   196       827       
11906   130       792       
11909   80        385       
11916   41        860       
11929   17        921       
11930   6         871       
11932   82        889       
11933   192       945       
11948   140       844       
11950   118       958       
11961   42        607       
11965   97        655       
11967   43        607       
11968   172       788       
11973   41        177       
11987   186       1000      
12002   94        465       
12008   99        597       
12013   1         767       
12023   18        380       
12032   39        934       
12035   82        563       
12040   29        613       
12050   113       873       
12054   17        583       
12057   122       784       
12058   112       679       
12064   14        91        
12069   116       759       
12073   129       875       
12075   55        492       
12077   67        805       
12081   111       771       
12088   32        833       
12091   182       944       
12105   95        548       
12110   103       699       
12118   10        374       
12124   19        788       
12128   128       693       
12133   138       858       
12134   62        949       
12150   121       525       
12151   201       975       
12162   51        616       
12179   75        852       
12188   35        638       
12193   3         528       
12197   12        893       
12201   49        244       
12210   169       963       
12218   131       798       
12230   88        791       
12239   73        511       
12251   174       864       
12252   21        131       
12254   4         99        
12256   16        71        
12265   34        824       
12267   39        900       
12299   189       862       
12307   105       739       
12309   105       745       
12315   74        906       
12317   169       770       
12325   125       921       
12328   54        934       
12332   126       802       
12336   10        526       
12337   33        260       
12359   86        911       
12367   123       532       
12388   3         33        
12390   28        408       
12395   40        953       
12399   105       962       
12418   4         165       
12430   15        269       
12441   138       895       
12448   94        739       
12455   113       508       
12460   151       975       
12464   32        912       
12487   19        187       
12495   143       682       
12503   15        520       
12507   106       789       
12510   169       720       
